brand,brand,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
Maruti Baleno Delta 1.2,Maruti,2016,2.584912252440522,45000,True,True,True,1,21.4,1197.0,0.0,5.0
Maruti Alto 800 LXI,Maruti,2017,2.527688832016328,28000,True,True,True,1,24.7,796.0,0.0,5.0
Chevrolet Enjoy TCDi LTZ 7 Seater,Chevrolet,2013,2.534612089697972,70000,False,True,True,1,18.2,1248.0,0.0,7.0
Maruti Wagon R LXI Minor,Maruti,2009,2.5097116808831177,120000,True,True,True,1,18.9,1061.0,0.0,5.0
Maruti Omni E MPI STD BS IV,Maruti,2018,2.521641495488196,25000,True,True,True,1,16.8,796.0,0.0,8.0
Maruti Vitara Brezza LDi Option,Maruti,2017,2.596375943163952,70000,False,True,True,1,24.3,1248.0,0.0,5.0
Fiat Palio 1.2 ELX,Fiat,2003,2.4119999256830145,50000,True,True,True,2,0.0,1248.0,,5.0
Maruti Omni 8 Seater BSIV,Maruti,2012,2.478082633484265,35000,True,True,True,2,14.0,796.0,0.0,5.0
Hyundai i20 1.2 Asta Dual Tone,Hyundai,2018,2.6027489291060784,2388,True,True,True,1,18.6,1197.0,0.0,5.0
Maruti Vitara Brezza LDi,Maruti,2017,2.5941143287542214,16200,False,True,True,1,24.3,1248.0,0.0,5.0
Maruti Alto K10 VXI Airbag,Maruti,2019,2.550256452090456,15000,True,True,True,1,23.95,998.0,0.0,5.0
Hyundai Verna VTVT 1.6 SX Option,Hyundai,2019,2.6357950539493475,5000,True,True,True,1,17.0,1591.0,0.0,5.0
Datsun GO D,Datsun,2016,2.478082633484265,42000,True,True,True,1,20.63,1198.0,0.0,5.0
Tata Safari DICOR 2.2 LX 4x2,Tata,2011,2.561855688375752,60000,False,True,True,2,13.93,2179.0,0.0,7.0
Maruti 800 Std,Maruti,2012,2.478082633484265,76000,True,True,True,1,16.1,796.0,0.0,4.0
Jeep Compass 1.4 Limited Plus BSIV,Jeep,2019,2.6781027459965556,5000,True,True,False,1,16.0,1368.0,0.0,5.0
Honda City i VTEC VX,Honda,2018,2.620132887803051,28900,True,False,True,1,17.8,1497.0,0.0,5.0
Honda City V MT,Honda,2013,2.561855688375752,86300,True,False,True,1,16.8,1497.0,0.0,5.0
Maruti Swift Dzire VXi AT,Maruti,2018,2.5969300170092384,23300,True,False,False,1,18.5,1197.0,0.0,5.0
Maruti Vitara Brezza VDi,Maruti,2018,2.611323300869931,32600,False,False,True,1,24.3,1248.0,0.0,5.0
Maruti Alto K10 VXI,Maruti,2018,2.5552021627661214,10300,True,False,True,1,23.95,998.0,0.0,5.0
Toyota Fortuner 4x4 MT,Toyota,2014,2.6547180342627636,77000,False,False,True,1,12.55,2982.0,0.0,7.0
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,2013,2.5996358133442783,99000,False,False,True,1,12.99,2494.0,0.0,7.0
Mercedes-Benz B Class B180,Mercedes-Benz,2014,2.652331276422551,27800,False,False,False,2,14.8,2143.0,0.0,5.0
Honda Amaze S Diesel,Honda,2015,2.561855688375752,49800,False,False,True,1,24.7,1498.0,0.0,5.0
Mitsubishi Pajero Sport 4X4,Mitsubishi,2013,2.6320102898983992,151000,False,False,True,1,13.5,2477.0,0.0,7.0
Honda City i DTEC S,Honda,2015,2.5881162238935986,54700,False,False,True,1,26.0,1498.0,0.0,5.0
Maruti Ciaz Zeta,Maruti,2018,2.61395866453803,64000,True,False,True,1,20.65,1462.0,0.0,5.0
Honda Jazz VX Diesel,Honda,2015,2.578029100497648,63000,False,False,True,1,27.3,1498.0,0.0,5.0
Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,2016,2.6613977595860283,127700,False,False,False,2,11.36,2755.0,0.0,7.0
Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,2016,2.6220722727261374,99000,False,False,True,1,12.99,2494.0,0.0,7.0
Audi A6 2.0 TDI Technology,Audi,2013,2.6654993759247674,33900,False,False,False,2,17.68,1968.0,0.0,5.0
Toyota Corolla Altis 1.8 VL CVT,Toyota,2018,2.658807054545495,25000,True,False,False,1,14.28,1798.0,0.0,5.0
Audi A6 2.0 TDI  Design Edition,Audi,2013,2.66306946649643,50000,False,False,False,1,18.53,1968.0,0.0,5.0
Mercedes-Benz New C-Class 220 CDI AT,Mercedes-Benz,2013,2.65110463790336,59000,False,False,False,1,14.84,2143.0,0.0,5.0
Tata Manza ELAN Quadrajet BS IV,Tata,2011,2.524726951178634,120000,False,True,True,1,21.12,1248.0,0.0,5.0
Hyundai i10 Magna,Hyundai,2011,2.4977224546738777,110000,True,True,True,3,20.36,1197.0,0.0,5.0
Hyundai i20 Asta 1.4 CRDi,Hyundai,2013,2.561855688375752,60000,False,True,True,1,21.27,1396.0,0.0,5.0
Maruti Swift Dzire ZDI,Maruti,2015,2.5917766579661077,147000,False,True,True,2,26.59,1248.0,0.0,5.0
Ford Figo 1.2P Titanium MT,Ford,2017,2.5881162238935986,25000,True,True,True,3,18.16,1196.0,0.0,5.0
Maruti Baleno Delta 1.2,Maruti,2019,2.5941143287542214,30000,True,True,True,1,21.4,1197.0,0.0,5.0
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,Volkswagen,2016,2.580165647868961,40000,False,True,True,1,22.0,1498.0,0.0,5.0
Honda City i DTEC VX,Honda,2015,2.5917766579661077,135000,False,True,True,1,25.1,1498.0,0.0,5.0
Maruti Wagon R AMT VXI,Maruti,2018,2.5659141619953965,30000,True,True,False,1,20.51,998.0,0.0,5.0
Volkswagen Ameo 1.5 TDI Comfortline,Volkswagen,2017,2.5743179027663876,80000,False,True,True,1,21.66,1498.0,0.0,5.0
Maruti Vitara Brezza VDi,Maruti,2016,2.604254349412498,70000,False,True,True,1,24.3,1248.0,0.0,5.0
Maruti Vitara Brezza ZDi Plus AMT,Maruti,2019,2.6275776300351446,9850,False,True,False,1,24.3,1248.0,0.0,5.0
Hyundai i10 Magna,Hyundai,2011,2.515059191033133,60000,True,True,True,2,20.36,1197.0,0.0,5.0
Maruti Swift VDI Deca,Maruti,2016,2.5917766579661077,70000,False,True,True,1,25.2,1248.0,0.0,5.0
Toyota Fortuner 4x4 MT,Toyota,2015,2.663480833457408,78000,False,True,True,2,12.55,2982.0,0.0,7.0
Maruti Swift Star VDI,Maruti,2013,2.5662564153311536,120000,False,True,True,2,22.9,1248.0,0.0,5.0
Maruti Ertiga ZXI,Maruti,2012,2.5662564153311536,120000,True,True,True,2,16.02,1373.0,0.0,7.0
Tata Indica DLS,Tata,2003,2.381375781933921,70000,False,True,True,1,0.0,1248.0,,5.0
Volkswagen Vento Diesel Highline,Volkswagen,2013,2.5662564153311536,170000,False,True,True,1,20.54,1598.0,0.0,5.0
Toyota Innova 2.5 VX (Diesel) 8 Seater,Toyota,2016,2.638902468679082,140000,False,True,True,1,12.99,2494.0,0.0,8.0
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,Ford,2015,2.5893578198276077,90000,False,True,True,1,22.77,1498.0,0.0,5.0
BMW X1 sDrive20i xLine,BMW,2016,2.6900085101561477,30000,True,True,False,2,15.71,1998.0,0.0,5.0
Maruti Celerio ZXI MT BSIV,Maruti,2017,2.5719938793776937,10000,True,False,True,1,23.1,998.0,0.0,5.0
Datsun GO A Petrol,Datsun,2016,2.527688832016328,49000,True,False,True,1,19.02,1198.0,0.0,5.0
Maruti Alto 800 VXI BSIV,Maruti,2016,2.5384733182611328,32000,True,False,True,1,24.7,796.0,0.0,5.0
Maruti Alto 800 LXI BSIV,Maruti,2016,2.527688832016328,38000,True,False,True,1,24.7,796.0,0.0,5.0
Maruti Swift VDI BSIV W ABS,Maruti,2015,2.570401397507102,78000,False,False,True,1,0.0,1248.0,,5.0
Hyundai i10 Era 1.1,Hyundai,2012,2.5319203323418096,28000,True,False,True,1,19.81,1086.0,0.0,5.0
Maruti Omni 8 Seater BSIV,Maruti,2017,2.5291264557754007,32000,True,False,True,1,14.0,796.0,0.0,5.0
Volkswagen Polo 1.2 MPI Comfortline,Volkswagen,2015,2.567104932380713,42000,True,False,True,1,16.47,1198.0,0.0,5.0
Hyundai i10 Magna 1.1L,Hyundai,2015,2.546984450714151,45000,True,False,True,2,19.81,1086.0,0.0,5.0
Volkswagen Vento Petrol Highline,Volkswagen,2012,2.579460636620031,12000,True,False,True,2,15.04,1598.0,0.0,5.0
Maruti Zen Estilo LXI BSIII,Maruti,2009,2.490933555856897,55500,True,False,True,1,18.2,998.0,0.0,5.0
Hyundai i20 Asta Optional with Sunroof 1.2,Hyundai,2013,2.578029100497648,61500,True,False,True,1,18.5,1197.0,0.0,5.0
Maruti Swift Dzire LDI,Maruti,2016,2.5881162238935986,150000,False,True,True,1,26.59,1248.0,0.0,5.0
Hyundai Xcent 1.2 Kappa SX Option AT,Hyundai,2016,2.5835884884092963,72000,True,False,False,1,19.1,1197.0,0.0,5.0
Maruti Alto LX BSIII,Maruti,2008,2.4591825218108685,68000,True,False,True,3,19.7,796.0,0.0,5.0
Hyundai i20 1.4 Asta Option,Hyundai,2017,2.60223972747565,110000,False,True,True,1,22.54,1396.0,0.0,5.0
Maruti Wagon R VXI,Maruti,2009,2.495525989812908,77000,True,False,True,2,21.79,998.0,0.0,5.0
Tata Manza Aura (ABS) Quadrajet,Tata,2010,2.5019335857292173,100000,False,True,True,2,18.8,1248.0,0.0,5.0
Maruti Swift VXI,Maruti,2019,2.5899704374355736,10000,True,True,True,1,21.21,1197.0,0.0,5.0
Maruti Eeco 7 Seater Standard BSIV,Maruti,2016,2.5262227012804486,100000,True,True,True,3,15.37,1196.0,0.0,7.0
Maruti Baleno Zeta 1.2,Maruti,2018,2.5893578198276077,35000,True,True,True,1,21.4,1197.0,0.0,5.0
Mahindra Scorpio VLX AT AIRBAG BSIV,Mahindra,2014,2.5911797685507985,70000,False,True,False,2,11.79,2179.0,0.0,8.0
Ford Freestyle Titanium Petrol BSIV,Ford,2020,2.5571668309410573,5000,True,True,True,2,19.0,1194.0,0.0,5.0
Hyundai Verna VTVT 1.6 SX,Hyundai,2017,2.6153236279965704,37800,True,True,True,1,17.0,1591.0,0.0,5.0
Volkswagen Passat 1.8 TSI MT,Volkswagen,2010,2.5996358133442783,114000,True,True,True,1,14.3,1798.0,0.0,5.0
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,Tata,2010,2.534612089697972,48000,True,True,True,1,15.8,1172.0,0.0,5.0
Mahindra XUV500 W11 Option AWD,Mahindra,2019,2.663480833457408,32000,False,True,True,1,15.1,2179.0,0.0,7.0
Tata Indigo CS LS (TDI) BS-III,Tata,2016,2.552150983859205,100000,False,True,True,1,19.09,1405.0,0.0,5.0
Hyundai Verna 1.6 SX,Hyundai,2013,2.5775939129690526,150000,False,True,True,2,22.32,1582.0,0.0,5.0
Hyundai i20 Magna 1.4 CRDi (Diesel),Hyundai,2013,2.56659686468533,69000,False,True,True,1,21.9,1396.0,0.0,5.0
Toyota Corolla Altis G,Toyota,2009,2.534612089697972,100000,True,True,True,2,14.53,1798.0,0.0,5.0
Maruti Celerio VXI,Maruti,2020,2.570401397507102,13000,True,True,True,1,21.63,998.0,0.0,5.0
Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti,2016,2.6076439998447776,60000,False,True,True,1,24.3,1248.0,0.0,5.0
Maruti Swift Dzire VXI,Maruti,2017,2.587487055859514,40000,True,True,True,1,20.85,1197.0,0.0,5.0
Maruti Wagon R VXI BS IV,Maruti,2017,2.5645285001361646,35000,True,True,True,1,20.51,998.0,0.0,5.0
Maruti Swift VDI BSIV,Maruti,2010,2.534612089697972,120000,False,True,True,2,0.0,1248.0,,5.0
Nissan Terrano XL 85 PS,Nissan,2014,2.5571668309410573,70000,False,True,True,3,20.45,1461.0,0.0,5.0
Hyundai Creta 1.6 CRDi SX,Hyundai,2016,2.635231364247117,50000,False,True,True,1,19.67,1582.0,0.0,5.0
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,Ford,2017,2.61395866453803,76139,False,True,True,1,23.0,1498.0,0.0,5.0
Maruti Swift Dzire VDi,Maruti,2012,2.5511045968025123,175000,False,True,True,4,19.3,1248.0,0.0,5.0
Renault KWID 1.0,Renault,2018,2.5467609805721936,25000,True,True,True,1,23.01,999.0,0.0,5.0
Maruti Celerio VXI,Maruti,2015,2.5489653144403843,40000,True,True,True,2,23.1,998.0,0.0,5.0
Maruti Alto LXi,Maruti,2008,2.4476992630576646,65000,True,True,True,4,19.7,796.0,0.0,5.0
Maruti Ertiga VDI,Maruti,2013,2.5911797685507985,90000,False,True,True,2,20.77,1248.0,0.0,7.0
Hyundai Santro Xing GLS,Hyundai,2009,2.469203164398985,80000,True,True,True,2,17.92,1086.0,0.0,5.0
Maruti Ertiga VDI,Maruti,2015,2.5996358133442783,110000,False,True,True,2,20.77,1248.0,0.0,7.0
Honda Amaze S i-VTEC,Honda,2019,2.598566149162662,1303,True,False,True,1,17.8,1198.0,0.0,5.0
Audi Q5 35TDI Premium Plus,Audi,2018,2.7210016548413867,31800,False,False,False,1,17.01,1968.0,0.0,5.0
Lexus ES 300h,Lexus,2019,2.737900693654952,20000,True,False,False,1,22.37,2487.0,0.0,5.0
Jaguar XF 2.0 Diesel Portfolio,Jaguar,2017,2.7066266127990493,45000,False,False,False,1,19.33,1999.0,0.0,5.0
Jeep Wrangler 2016-2019 3.6 4X4,Jeep,2017,2.7230371688032333,17000,True,True,False,1,9.5,3604.0,0.0,5.0
Land Rover Discovery Sport TD4 SE,Land,2019,2.72913226804608,21000,False,False,False,1,12.83,1999.0,0.0,7.0
Mercedes-Benz S-Class S 350 CDI,Mercedes-Benz,2017,2.7477368330825795,37000,False,False,False,1,13.5,2987.0,0.0,5.0
BMW 5 Series 520d Sport Line,BMW,2018,2.7178603622019324,29500,False,False,False,1,22.48,1995.0,0.0,5.0
BMW X1 sDrive 20D xLine,BMW,2017,2.679717829960295,27000,False,False,False,1,0.0,1248.0,,5.0
BMW X4 M Sport X xDrive20d,BMW,2019,2.7455623064107444,7500,False,False,False,1,16.78,1995.0,0.0,5.0
Skoda Superb LK 1.8 TSI AT,Skoda,2018,2.6699170242243544,50000,True,False,False,1,14.67,1798.0,0.0,5.0
Mercedes-Benz E-Class E250 Edition E,Mercedes-Benz,2016,2.6952190549681467,35000,False,False,False,1,15.0,2143.0,0.0,5.0
MG Hector Sharp AT BSIV,MG,2019,2.6654993759247674,19000,True,False,False,1,13.96,1451.0,0.0,5.0
Honda City i-VTEC CVT VX,Honda,2017,2.609047019419734,41000,True,False,False,1,18.0,1497.0,0.0,5.0
Toyota Corolla Altis 1.8 G CVT,Toyota,2013,2.5911797685507985,39000,True,False,False,1,14.28,1798.0,0.0,5.0
Volvo XC40 D4 R-Design,Volvo,2018,2.7106658432981137,22000,False,False,False,1,18.0,1969.0,0.0,5.0
Audi Q7 35 TDI Quattro Premium,Audi,2015,2.6939560230239805,53000,False,False,False,1,12.07,2967.0,0.0,7.0
Maruti Ciaz ZDi,Maruti,2015,2.579460636620031,40000,False,False,True,1,26.21,1248.0,0.0,5.0
Mercedes-Benz S-Class S 350 CDI,Mercedes-Benz,2017,2.746113335494521,47000,False,False,False,1,13.5,2987.0,0.0,5.0
BMW 5 Series 523i,BMW,2010,2.6239576692260163,72200,True,False,False,2,10.8,2497.0,0.0,5.0
Hyundai Elantra S,Hyundai,2016,2.609966666571796,49900,True,False,True,1,16.3,1797.0,0.0,5.0
Jaguar XE 2016-2019 2.0L Diesel Prestige,Jaguar,2017,2.693314931905307,9000,False,False,False,1,13.6,1999.0,0.0,5.0
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,Tata,2018,2.610512586833757,11000,True,False,True,1,17.0,1198.0,0.0,5.0
Volkswagen Vento Petrol Highline,Volkswagen,2011,2.552150983859205,49000,True,True,True,1,15.04,1598.0,0.0,5.0
Hyundai Elantra SX,Hyundai,2012,2.5815548399062984,95000,True,True,True,1,16.3,1797.0,0.0,5.0
Skoda Rapid 1.6 MPI AT Elegance,Skoda,2016,2.5935372326267285,11000,True,False,False,1,14.3,1598.0,0.0,5.0
Mercedes-Benz CLA 200 CGI Sport,Mercedes-Benz,2018,2.6913518170187674,18000,True,False,False,1,15.04,1991.0,0.0,5.0
Maruti Ertiga ZXI,Maruti,2014,2.587990842369504,46100,True,False,True,1,16.02,1373.0,0.0,7.0
Mercedes-Benz New C-Class C 200 AVANTGARDE,Mercedes-Benz,2017,2.6952190549681467,16000,True,False,False,1,14.74,1991.0,0.0,5.0
Honda City V AT,Honda,2017,2.616079577558795,18000,True,False,False,1,15.6,1497.0,0.0,5.0
Toyota Glanza V CVT,Toyota,2019,2.6177299288380804,9654,True,False,False,1,19.56,1197.0,0.0,5.0
Maruti Alto K10 VXI,Maruti,2011,2.490933555856897,11000,True,False,True,1,23.95,998.0,0.0,5.0
Maruti Swift VXI,Maruti,2012,2.544487660297609,24300,True,False,True,1,21.21,1197.0,0.0,5.0
Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,2016,2.6558796777125653,42163,False,False,False,2,11.36,2755.0,0.0,7.0
Tata Nexon 1.5 Revotorq XZA Plus DualTone,Tata,2018,2.6275776300351446,8000,False,False,False,1,21.5,1497.0,0.0,5.0
BMW 3 Series 320d Luxury Line,BMW,2016,2.679717829960295,30000,False,False,False,1,22.69,1995.0,0.0,5.0
Toyota Camry 2.5 Hybrid,Toyota,2016,2.6712039348441956,41000,True,False,False,1,19.16,2494.0,0.0,5.0
BMW 5 Series 520d Luxury Line,BMW,2016,2.7000329012672557,12000,False,False,False,1,18.12,1995.0,0.0,5.0
Toyota Camry W4 (AT),Toyota,2009,2.5662564153311536,71000,True,False,False,1,12.1,2362.0,0.0,5.0
Maruti Ertiga BSIV ZXI Plus,Maruti,2016,2.61395866453803,20000,True,True,True,1,17.5,1373.0,0.0,7.0
Volvo XC90 T8 Excellence BSIV,Volvo,2017,2.779942594303269,30000,True,True,False,1,42.0,1969.0,0.0,4.0
Volkswagen Vento Diesel Highline,Volkswagen,2011,2.534612089697972,100000,False,True,True,2,20.54,1598.0,0.0,5.0
Ford Figo Aspire 1.2 Ti-VCT Trend,Ford,2018,2.584912252440522,9500,True,True,True,1,18.16,1196.0,0.0,5.0
Ford Figo Diesel LXI,Ford,2011,2.483483061484839,120000,False,True,True,1,20.0,1399.0,0.0,5.0
Maruti Swift VXI Optional,Maruti,2015,2.57656792129859,36600,True,True,True,1,20.4,1197.0,0.0,5.0
Maruti Wagon R AMT VXI,Maruti,2015,2.5552021627661214,50000,True,True,False,2,20.51,998.0,0.0,5.0
Hyundai i20 Magna 1.2,Hyundai,2016,2.5815548399062984,14000,True,True,True,2,18.6,1197.0,0.0,5.0
Maruti 800 Std,Maruti,1999,2.3605364727014044,40000,True,True,True,2,16.1,796.0,0.0,4.0
Maruti Ritz VDi,Maruti,2010,2.5097116808831177,120000,False,True,True,1,21.1,1248.0,0.0,5.0
Hyundai Grand i10 Magna,Hyundai,2015,2.561855688375752,70000,True,True,True,1,18.9,1197.0,0.0,5.0
Volkswagen Ameo 1.0 MPI Trendline,Volkswagen,2019,2.571202181814284,13000,True,True,True,1,19.44,999.0,0.0,5.0
Hyundai Grand i10 Sportz,Hyundai,2014,2.5571668309410573,60000,True,True,True,2,18.9,1197.0,0.0,5.0
Maruti Swift Dzire VXI,Maruti,2014,2.572308321593754,35000,True,True,True,1,19.1,1197.0,0.0,5.0
Hyundai Xcent 1.2 Kappa S,Hyundai,2016,2.5544010459252013,44000,True,True,True,2,19.1,1197.0,0.0,5.0
Honda City 1.5 EXI,Honda,2005,2.443470357682056,120000,True,True,True,2,13.0,1493.0,0.0,5.0
Toyota Corolla Altis Diesel D4DG,Toyota,2010,2.534612089697972,60000,False,True,True,1,21.43,1364.0,0.0,5.0
Daewoo Matiz SD,Daewoo,2000,2.443470357682056,60000,True,True,True,1,18.5,796.0,0.0,5.0
Toyota Fortuner 4x2 Manual,Toyota,2014,2.6654993759247674,30000,False,True,True,2,13.0,2982.0,0.0,7.0
Mahindra KUV 100 mFALCON G80 K8,Mahindra,2016,2.5662564153311536,15000,True,True,True,2,18.15,1198.0,0.0,6.0
Tata Zest Quadrajet 1.3 75PS XM,Tata,2017,2.5727771532544006,90000,False,True,True,1,22.95,1248.0,0.0,5.0
Honda City 1.5 S MT,Honda,2009,2.545633203351453,47000,True,True,True,2,17.0,1497.0,0.0,5.0
Maruti Zen LXI,Maruti,2005,2.4292535613892587,90000,True,True,True,1,17.3,993.0,0.0,5.0
Maruti Wagon R VXI BS IV with ABS,Maruti,2010,2.5078410759756937,120600,True,True,True,2,18.9,998.0,0.0,5.0
Hyundai Verna Transform SX VTVT,Hyundai,2010,2.539716459069636,100000,True,True,True,3,16.2,1599.0,0.0,5.0
Maruti Swift Dzire VXI,Maruti,2016,2.5679433014849664,60000,True,True,True,2,20.85,1197.0,0.0,5.0
Hyundai Getz GLS,Hyundai,2005,2.4053350334627517,86000,True,True,True,1,15.3,1341.0,0.0,5.0
Hyundai Elite i20 Sportz Plus BSIV,Hyundai,2020,2.601726739812297,5000,True,True,True,1,18.6,1197.0,0.0,5.0
Maruti Ciaz 1.3 Alpha,Maruti,2017,2.6095083856715187,37000,False,True,True,1,28.09,1248.0,0.0,5.0
Tata Tigor 1.2 Revotron XZ,Tata,2019,2.577302290276007,14000,True,True,True,1,20.3,1199.0,0.0,5.0
Maruti Ertiga VDI,Maruti,2015,2.5855648807028477,70000,False,True,True,1,20.77,1248.0,0.0,7.0
Toyota Etios GD,Toyota,2012,2.515059191033133,120000,False,True,True,1,0.0,1248.0,,5.0
Honda City i VTEC S,Honda,2015,2.5881162238935986,50000,True,True,True,1,17.4,1497.0,0.0,5.0
Honda Brio S MT,Honda,2014,2.5319203323418096,60000,True,True,True,2,19.4,1198.0,0.0,5.0
Maruti Swift Dzire VXI,Maruti,2017,2.5815548399062984,50000,True,True,True,1,20.85,1197.0,0.0,5.0
Hyundai i20 Sportz 1.2,Hyundai,2013,2.552150983859205,70000,True,True,True,1,18.5,1197.0,0.0,5.0
Maruti Omni E 8 Str STD,Maruti,2003,2.3605364727014044,90000,True,True,True,2,0.0,1248.0,,5.0
Maruti Wagon R AMT VXI,Maruti,2018,2.560942107631475,35000,True,True,False,1,20.51,998.0,0.0,5.0
Maruti Swift Dzire VXI 1.2,Maruti,2017,2.5815548399062984,20000,True,True,True,1,21.21,1197.0,0.0,5.0
Maruti Alto 800 LXI,Maruti,2018,2.5262227012804486,20000,True,True,True,1,24.7,796.0,0.0,5.0
Maruti Swift Dzire AMT VXI BS IV,Maruti,2018,2.5996358133442783,7800,True,True,False,1,22.0,1197.0,0.0,5.0
Maruti Swift VXI Optional,Maruti,2017,2.5743179027663876,20000,True,True,True,1,20.4,1197.0,0.0,5.0
Tata Hexa XE,Tata,2019,2.641814532840189,15000,False,True,True,1,17.6,2179.0,0.0,7.0
Hyundai i20 Magna,Hyundai,2013,2.539716459069636,31377,True,True,True,2,18.5,1197.0,0.0,5.0
Maruti Swift Dzire VDI,Maruti,2018,2.5996358133442783,50000,False,True,True,1,28.4,1248.0,0.0,5.0
Maruti Wagon R VXI BS IV,Maruti,2015,2.5319203323418096,60000,True,True,True,1,20.51,998.0,0.0,5.0
Toyota Corolla Altis 1.8 VL AT,Toyota,2012,2.5815548399062984,100000,True,True,False,1,14.53,1794.0,0.0,5.0
Honda Brio S MT,Honda,2012,2.524726951178634,60000,True,True,True,1,19.4,1198.0,0.0,5.0
Maruti Baleno Alpha Automatic,Maruti,2018,2.6122131543778857,5000,True,True,False,1,21.4,1197.0,0.0,5.0
Tata Safari Storme EX,Tata,2017,2.6095083856715187,60000,False,True,True,1,14.1,2179.0,0.0,7.0
Maruti Alto LXi,Maruti,2011,2.483483061484839,25000,True,True,True,2,19.7,796.0,0.0,5.0
Renault KWID RXT,Renault,2018,2.5433238024898097,30000,True,True,True,1,25.17,799.0,0.0,5.0
Datsun GO T BSIV,Datsun,2017,2.541902186964764,80000,True,True,True,2,20.63,1198.0,0.0,5.0
Maruti Vitara Brezza VDi Option,Maruti,2017,2.607169879432538,75000,False,True,True,1,24.3,1248.0,0.0,5.0
Hyundai Xcent 1.2 VTVT SX,Hyundai,2020,2.5778843359354267,32000,True,True,True,1,20.14,1197.0,0.0,5.0
Maruti Alto 800 LXI,Maruti,2015,2.5184231028679545,40000,True,True,True,1,22.74,796.0,0.0,5.0
Hyundai i20 1.2 Sportz,Hyundai,2012,2.527688832016328,93000,True,True,True,2,17.0,1197.0,0.0,5.0
Tata Zest Revotron 1.2 XT,Tata,2018,2.577302290276007,60000,True,True,True,1,17.57,1193.0,0.0,5.0
Maruti Swift 1.3 VXi,Maruti,2008,2.46600324507219,120000,True,True,True,2,0.0,1248.0,,5.0
